City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
255,hammerfest,70.6634,23.6821,271.4,93,100,0.0,NO,1697575033
256,walvis bay,-22.9575,14.5053,288.76,88,65,3.09,NA,1697575033
257,fortuna,40.5982,-124.1573,291.99,66,100,3.13,US,1697574808
258,la foa,-21.7108,165.8276,295.68,82,89,1.98,NC,1697575034
259,happy valley-goose bay,53.3168,-60.3315,279.32,61,75,3.09,CA,1697575034
260,palora,-1.7,-77.9333,302.21,63,53,0.63,EC,1697575035
261,port alfred,-33.5906,26.891,289.92,88,0,1.34,ZA,1697575035
262,plastun,44.7561,136.2939,279.87,63,74,4.02,RU,1697574737
263,keflavik,64.0049,-22.5624,284.1,93,100,13.89,IS,1697575036
264,uray,60.1247,64.7758,285.3,67,8,5.36,RU,1697574742
265,katima mulilo,-17.5,24.2667,296.81,16,89,2.41,NA,1697575037
266,dudinka,69.4058,86.1778,272.97,98,100,2.68,RU,1697574740
267,tura,25.5198,90.2201,292.99,87,0,1.5,IN,1697575037
268,troitsko-pechorsk,62.7084,56.1964,281.31,76,100,4.02,RU,1697574740
269,armacao de buzios,-22.7469,-41.8817,300.24,90,72,6.31,BR,1697574974
270,bariadi,-2.8,33.9833,296.07,66,100,2.83,TZ,1697575038
271,fort st. john,56.2499,-120.8529,284.09,76,40,3.09,CA,1697575039
272,novodvinsk,64.4165,40.8122,276.92,78,100,4.01,RU,1697575040
273,lompoc,34.6391,-120.4579,306.49,68,0,6.69,US,1697575040
274,natchez,31.5604,-91.4032,298.29,35,0,0.0,US,1697575040
275,thunder bay,48.4001,-89.3168,285.14,66,40,5.14,CA,1697574751
276,guiratinga,-16.3494,-53.7583,308.58,24,20,2.27,BR,1697575041
277,ulladulla,-35.35,150.4667,285.8,63,91,2.14,AU,1697575041
278,kodiak,57.79,-152.4072,281.88,87,100,5.14,US,1697575042
279,aban,56.67,96.06,278.72,93,83,2.6,RU,1697575042
280,vernon,50.2581,-119.2691,290.16,45,65,4.47,CA,1697575043
281,broken hill,-31.95,141.4333,286.53,37,0,4.74,AU,1697574808
282,isangel,-19.55,169.2667,299.21,78,40,4.12,VU,1697575043
283,tralee,52.2704,-9.7026,284.87,93,100,8.39,IE,1697575044
284,peniche,39.3558,-9.3811,293.46,95,86,9.91,PT,1697574782
285,douglas,41.3,-96.167,296.25,39,0,6.69,US,1697574899
286,nuriootpa,-34.4833,139.0,284.69,46,0,2.51,AU,1697575045
287,sitges,41.2351,1.8119,296.08,94,100,0.45,ES,1697575045
288,ust-tsilma,65.441,52.1498,276.27,89,100,2.68,RU,1697575046
289,colonia,50.9333,6.95,282.51,75,0,3.09,DE,1697574848
290,murghob,38.1702,73.9667,272.38,71,99,1.01,TJ,1697575046
291,kourou,5.1552,-52.6478,301.18,75,14,4.02,GF,1697575047
292,egilsstadir,65.2653,-14.3948,279.1,70,75,3.09,IS,1697575047
293,gannan,47.9147,123.5031,278.17,49,4,3.57,CN,1697575048
294,santa marta de ortigueira,43.6833,-7.85,293.29,58,100,1.79,ES,1697575049
295,neyriz,29.1988,54.3278,291.4,34,0,1.5,IR,1697575049
296,sharm el-sheikh,27.8518,34.305,301.23,36,0,2.57,EG,1697575049
297,pangody,65.85,74.4859,279.39,95,100,4.92,RU,1697575050
298,aykhal,66.0,111.5,262.08,93,96,4.92,RU,1697575050
299,mejit,10.2753,170.8646,300.7,80,53,4.58,MH,1697575051
300,ellensburg,46.9965,-120.5479,291.62,45,75,4.12,US,1697575052
301,vilyuysk,63.7553,121.6247,269.92,96,100,2.24,RU,1697575052
302,tulare,36.2666,-118.8009,298.12,35,0,0.89,US,1697574965
303,arno,60.1167,18.6333,280.25,80,100,4.67,SE,1697575053
304,trujillo,-8.116,-79.03,294.13,78,73,5.66,PE,1697575053
305,alice springs,-23.7,133.8833,281.9,40,0,0.0,AU,1697574880
